2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,
2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,
2,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,2,
2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,
2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,
2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
10050,20050,30950,40550
